City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Huilong,CN,31.8111,121.655,76.93,96,100,21.27,overcast clouds
115,Svencioneliai,LT,55.1667,26.0,46.4,88,99,5.48,overcast clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,100,100,12.66,light rain
117,Rudnya,RU,54.947,31.0934,45.81,63,100,5.75,overcast clouds
118,Rawson,AR,-43.3002,-65.1023,66.54,34,57,6.24,broken clouds
119,Boende,CD,-0.2167,20.8667,71.46,93,81,2.77,light rain
120,Namibe,AO,-15.1961,12.1522,62.4,90,45,8.37,scattered clouds
121,Saint-Pierre,RE,-21.3393,55.4781,71.28,75,0,14.97,clear sky
122,Ocampo,MX,21.65,-101.5,71.58,49,20,19.01,few clouds
123,Barrow,US,71.2906,-156.7887,37.26,73,98,17.65,overcast clouds
124,Cidreira,BR,-30.1811,-50.2056,59.76,65,0,8.1,clear sky
125,Amapa,BR,1.0,-52.0,77.16,75,84,3.04,moderate rain
126,Blenheim,NZ,-41.516,173.9528,42.53,91,100,6.11,overcast clouds
127,Maicao,CO,11.3832,-72.2432,88.34,63,100,10.31,overcast clouds
128,Songjianghe,CN,42.1859,127.479,50.52,98,100,4.41,overcast clouds
129,Eyl,SO,7.9803,49.8164,76.71,81,11,25.81,few clouds
130,Hope,US,33.6671,-93.5916,89.98,38,0,2.39,clear sky
131,Georgetown,MY,5.4112,100.3354,80.89,90,20,2.3,light rain
132,Isangel,VU,-19.55,169.2667,76.84,90,100,9.15,light rain
133,Saint George,US,37.1041,-113.5841,102.25,23,0,5.01,clear sky
134,Adrar,MR,20.5022,-10.0711,99.37,22,22,9.82,few clouds
135,Oranjestad,AW,12.524,-70.027,89.55,66,20,6.91,few clouds
136,Noumea,NC,-22.2763,166.4572,75.99,99,100,17.9,light rain
137,Leningradskiy,RU,69.3833,178.4167,35.11,87,100,3.6,overcast clouds
138,Boulder City,US,35.9786,-114.8325,104.94,17,0,6.91,clear sky
139,Ghanzi,BW,-21.5667,21.7833,67.21,21,0,4.76,clear sky
140,Baruun-Urt,MN,46.6806,113.2792,35.38,77,48,17.07,scattered clouds
141,Bredasdorp,ZA,-34.5322,20.0403,50.65,77,36,18.84,light rain
142,Adre,TD,13.4667,22.2,73.15,80,65,5.55,broken clouds
143,Camocim,BR,-2.9022,-40.8411,84.63,64,16,21.63,few clouds
144,Rio Tuba,PH,8.5061,117.4317,80.46,84,100,11.88,overcast clouds
145,Oistins,BB,13.0667,-59.5333,86.09,74,40,13.8,scattered clouds
146,Machiques,VE,10.0644,-72.545,87.67,68,100,2.71,overcast clouds
147,Kushalgarh,IN,23.199,74.4507,76.06,91,79,6.4,broken clouds
148,Aklavik,CA,68.2191,-135.0107,50.0,81,100,6.91,overcast clouds
149,Manta,EC,-0.95,-80.7333,85.78,54,0,11.5,clear sky
150,Kurumkan,RU,54.3,110.3,41.16,89,99,3.15,overcast clouds
151,Touros,BR,-5.1989,-35.4608,76.87,84,24,12.97,few clouds
152,Iki-Burul,RU,45.8208,44.6472,67.48,47,36,12.62,scattered clouds
153,Peleduy,RU,59.6289,112.7406,34.41,98,21,2.3,few clouds
154,Chokurdakh,RU,70.6333,147.9167,35.67,97,100,14.29,overcast clouds
155,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.43,82,91,11.36,overcast clouds
156,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,75,9.22,broken clouds
157,Srednekolymsk,RU,67.45,153.6833,35.58,83,89,9.89,overcast clouds
158,Khambhaliya,IN,22.2072,69.6683,81.3,73,100,14.76,overcast clouds
159,Rockhampton,AU,-23.3833,150.5,57.09,94,71,6.91,broken clouds
160,Atar,MR,20.5169,-13.0499,100.06,25,58,8.7,broken clouds
161,Ullapool,GB,57.8987,-5.1604,63.36,95,36,6.6,scattered clouds
162,Guerrero Negro,MX,27.9769,-114.0611,86.32,62,100,10.4,overcast clouds
163,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.05,69,57,6.67,broken clouds
164,Caravelas,BR,-17.7125,-39.2481,74.23,72,5,6.98,clear sky
165,Iralaya,HN,15.0,-83.2333,83.88,73,100,7.92,overcast clouds
166,Hamilton,US,39.1834,-84.5333,83.52,80,100,6.91,overcast clouds
167,Avarua,CK,-21.2078,-159.775,75.25,73,20,8.05,few clouds
168,Mayo,US,38.8876,-76.5119,91.36,63,31,4.0,scattered clouds
169,Tura,IN,25.5198,90.2201,73.47,97,99,4.0,overcast clouds
170,Talnakh,RU,69.4865,88.3972,43.21,95,100,4.88,light rain
171,Ormara,PK,25.2088,64.6357,79.99,82,62,16.6,broken clouds
172,Fare,PF,-16.7,-151.0167,78.69,70,4,16.91,clear sky
173,Longyearbyen,SJ,78.2186,15.6401,40.84,87,75,9.22,light intensity drizzle rain
174,Urumqi,CN,43.801,87.6005,70.75,27,0,8.95,clear sky
175,Gornopravdinsk,RU,60.05,69.9,44.31,75,11,10.09,few clouds
176,Norman Wells,CA,65.282,-126.8329,59.04,72,75,5.75,broken clouds
177,Altamont,US,42.2068,-121.7372,85.78,25,8,3.0,clear sky
178,Shinuhayr,AM,39.4367,46.3179,66.67,29,9,2.04,clear sky
179,Parker,US,32.7668,-97.8003,96.58,42,0,1.99,clear sky
180,Casper,US,42.8666,-106.3131,97.72,14,0,8.99,clear sky
181,Kulu,TR,39.0951,33.0799,72.59,40,0,9.78,clear sky
182,Mahebourg,MU,-20.4081,57.7,70.25,73,75,9.22,broken clouds
183,Avera,US,33.194,-82.5271,81.91,59,76,8.28,broken clouds
184,Carbonia,IT,39.1672,8.5222,82.0,42,5,5.48,clear sky
185,Port Moresby,PG,-9.4431,147.1797,76.42,94,40,3.44,scattered clouds
186,Zhezkazgan,KZ,47.8043,67.7144,78.15,36,1,8.57,clear sky
187,Krasnoarmeysk,RU,51.0239,45.6969,47.98,87,100,14.27,overcast clouds
188,Nouakchott,MR,18.0858,-15.9785,89.53,71,28,7.58,scattered clouds
189,Alice Springs,AU,-23.7,133.8833,36.95,93,22,4.61,few clouds
190,Safford,US,32.834,-109.7076,89.11,26,0,8.28,clear sky
