City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Ranong,TH,79.09,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
450,Patiala,IN,80.01,clear sky,30.3267,76.4003,Hotel Amar and Restaurant
454,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
455,Marsh Harbour,BS,84.92,broken clouds,26.5412,-77.0636,Abaco Beach Resort
464,Destin,US,89.65,scattered clouds,30.3935,-86.4958,Wingate by Wyndham Destin
465,Katsuura,JP,77.16,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
470,Maragogi,BR,75.04,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
473,Arahal,ES,76.62,clear sky,37.1864,-5.5549,Villa periya
478,Tanda,IN,82.53,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
479,Ishigaki,JP,83.52,heavy intensity rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
486,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
487,Martapura,ID,75.29,light rain,-3.4167,114.85,Montana Hotel Syariah
488,Nishihara,JP,79.88,moderate rain,26.1842,127.7558,Minshuku Agaihama
492,San Ramon De La Nueva Oran,AR,79.43,clear sky,-23.1322,-64.326,Hotel Residencial Centro
496,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
501,Kupang,ID,75.97,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
503,Cabo Rojo,PR,89.26,broken clouds,18.0866,-67.1457,Hotel Perichi's
504,Majene,ID,75.92,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
507,Mogadishu,SO,75.79,scattered clouds,2.0371,45.3438,Hotel Juba
510,Oliver,CA,85.39,clear sky,49.1831,-119.5524,Cactus Tree Inn
512,Bandarbeyla,SO,76.66,scattered clouds,9.4942,50.8122,JABIR HOTEL
514,Lekoni,GA,75.33,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
516,Kailua,US,85.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
520,Itarema,BR,80.89,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
524,Pathein,MM,79.0,overcast clouds,16.7833,94.7333,Pathein Hotel
526,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
532,El Prat De Llobregat,ES,81.14,scattered clouds,41.3278,2.0947,Hotel Porta Fira
533,Bathsheba,BB,84.9,clear sky,13.2167,-59.5167,Atlantis Hotel
539,Esmeraldas,BR,83.26,clear sky,-19.7625,-44.3139,Forasteiro Pousada
540,Bellefontaine,US,78.24,broken clouds,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
545,Nanakuli,US,85.95,broken clouds,21.3906,-158.1547,Camp Pālehua
546,Yanam,IN,79.27,broken clouds,16.7333,82.2167,The Regency Hotel
553,Matara,LK,76.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
556,Acarau,BR,81.57,broken clouds,-2.8856,-40.12,castelo pizzaria
561,Mapiripan,CO,82.36,broken clouds,2.8892,-72.1256,Monserrate
565,Dunmore,US,83.79,clear sky,41.4198,-75.6324,Radisson Lackawanna Station Hotel Scranton
573,Sarankhola,BD,80.24,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
574,Artyom,AZ,77.14,clear sky,40.4723,50.333,Yusif 10 A
576,Alexandria,EG,79.86,clear sky,31.2156,29.9553,Royal Crown Hotel
579,Phan Thiet,VN,75.33,overcast clouds,10.9333,108.1,Hotel Saigon-PT
580,Diffa,NE,88.25,scattered clouds,13.3154,12.6113,ProDAF/Diffa
