City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Alexandria,31.2156,29.9553,78.76,78,40,9.22,EG,2022-08-30 01:32:37
120,Nikolskoye,59.7035,30.7861,60.69,87,100,9.28,RU,2022-08-30 01:35:50
121,Bluff,-46.6,168.3333,57.79,73,100,4.99,NZ,2022-08-30 01:35:50
122,Arraial Do Cabo,-22.9661,-42.0278,65.19,67,99,21.92,BR,2022-08-30 01:35:51
123,Yinchuan,38.4681,106.2731,72.1,34,20,5.73,CN,2022-08-30 01:35:51
124,Athabasca,54.7169,-113.2854,75.61,51,93,5.95,CA,2022-08-30 01:35:51
125,Bardiyah,31.7561,25.0865,76.77,79,0,10.92,LY,2022-08-30 01:35:52
126,Tashtyp,52.7939,89.8983,61.57,54,61,3.96,RU,2022-08-30 01:35:52
127,Pangody,65.85,74.4859,53.4,98,100,13.0,RU,2022-08-30 01:35:53
128,San Quintin,30.4833,-115.95,70.12,83,24,15.14,MX,2022-08-30 01:35:53
129,Brigantine,39.4101,-74.3646,78.01,90,0,4.61,US,2022-08-30 01:34:37
130,Petropavlovsk-Kamchatskiy,53.0452,158.6483,64.99,59,75,4.47,RU,2022-08-30 01:32:15
131,Mabaruma,8.2,-59.7833,74.93,87,5,2.75,GY,2022-08-30 01:36:54
132,Klaksvik,62.2266,-6.589,50.92,82,29,13.22,FO,2022-08-30 01:36:54
133,Georgetown,5.4112,100.3354,82.89,88,40,3.44,MY,2022-08-30 01:34:18
134,Hermanus,-34.4187,19.2345,46.8,71,11,15.66,ZA,2022-08-30 01:36:55
135,Erenhot,43.6475,111.9767,67.39,43,9,3.53,CN,2022-08-30 01:36:55
136,Lamu,-2.2717,40.902,75.42,79,90,11.52,KE,2022-08-30 01:36:55
137,Dikson,73.5069,80.5464,39.54,90,100,6.44,RU,2022-08-30 01:36:56
138,Chokurdakh,70.6333,147.9167,47.41,56,19,10.36,RU,2022-08-30 01:36:56
139,Outlook,51.5001,-107.0513,70.63,35,42,4.36,CA,2022-08-30 01:36:57
140,Matagami,49.7502,-77.6328,66.31,94,75,6.91,CA,2022-08-30 01:36:57
141,Sao Filipe,14.8961,-24.4956,78.39,79,100,9.04,CV,2022-08-30 01:36:57
142,Faanui,-16.4833,-151.75,78.55,67,2,10.13,PF,2022-08-30 01:36:58
143,Butaritari,3.0707,172.7902,82.24,69,100,15.64,KI,2022-08-30 01:36:58
144,Tiksi,71.6872,128.8694,43.77,91,100,3.04,RU,2022-08-30 01:36:58
145,Maniitsoq,65.4167,-52.9,41.2,90,79,4.14,GL,2022-08-30 01:36:59
146,Vitoria Da Conquista,-14.8661,-40.8394,59.92,87,62,8.61,BR,2022-08-30 01:36:59
147,San Ramon,37.7799,-121.978,79.38,60,0,13.8,US,2022-08-30 01:32:32
148,Kyra,49.5776,111.9753,52.56,62,83,4.72,RU,2022-08-30 01:37:00
149,Tazovskiy,67.4667,78.7,39.72,96,100,14.47,RU,2022-08-30 01:37:00
150,Formosa,-26.1775,-58.1781,53.58,71,0,4.61,AR,2022-08-30 01:37:01
151,Caravelas,-17.7125,-39.2481,69.96,79,62,19.04,BR,2022-08-30 01:37:01
152,Acapulco,16.8634,-99.8901,82.22,78,75,4.61,MX,2022-08-30 01:37:02
153,Bengkulu,-3.8004,102.2655,76.96,84,100,2.73,ID,2022-08-30 01:37:02
154,Guerrero Negro,27.9769,-114.0611,71.46,83,59,16.71,MX,2022-08-30 01:37:02
155,Hithadhoo,-0.6,73.0833,80.08,74,97,16.8,MV,2022-08-30 01:37:03
156,Hobyo,5.3505,48.5268,75.15,86,11,21.7,SO,2022-08-30 01:37:03
157,Cockburn Town,21.4612,-71.1419,83.14,80,100,17.76,TC,2022-08-30 01:33:29
158,Ribeira Grande,38.5167,-28.7,74.57,88,12,1.66,PT,2022-08-30 01:37:04
159,Alenquer,-1.9417,-54.7383,80.38,52,70,2.82,BR,2022-08-30 01:37:04
160,Hvide Sande,56.0045,8.1294,56.97,69,75,10.96,DK,2022-08-30 01:34:18
161,Gamba,-2.65,10.0,73.47,86,100,5.19,GA,2022-08-30 01:37:04
162,Mineiros,-17.5694,-52.5511,70.45,46,1,4.56,BR,2022-08-30 01:37:05
163,San Patricio,28.017,-97.5169,84.88,78,100,11.12,US,2022-08-30 01:37:05
164,Atasu,48.6814,71.6433,65.62,29,0,3.87,KZ,2022-08-30 01:37:06
165,Sayyan,15.1718,44.3244,61.93,34,3,5.01,YE,2022-08-30 01:37:06
166,Aklavik,68.2191,-135.0107,55.33,60,25,2.68,CA,2022-08-30 01:37:06
167,Bamnet Narong,15.4992,101.6897,82.87,72,97,4.5,TH,2022-08-30 01:37:06
168,Ancud,-41.8697,-73.8203,44.55,84,100,0.6,CL,2022-08-30 01:37:07
169,Ahipara,-35.1667,173.1667,58.3,68,45,9.8,NZ,2022-08-30 01:37:07
170,Thompson,55.7435,-97.8558,60.96,63,20,9.22,CA,2022-08-30 01:37:08
171,Jiwani,25.05,61.7417,79.39,80,99,6.91,PK,2022-08-30 01:37:08
172,Padang,-0.9492,100.3543,73.45,83,100,1.9,ID,2022-08-30 01:37:08
173,Port Alfred,-33.5906,26.891,53.19,78,100,7.0,ZA,2022-08-30 01:37:09
174,Civitanova Marche,43.307,13.7206,73.18,81,0,3.0,IT,2022-08-30 01:38:09
175,Tual,-5.6667,132.75,80.17,83,56,17.69,ID,2022-08-30 01:38:10
176,Narsaq,60.9167,-46.05,43.02,91,99,4.59,GL,2022-08-30 01:38:10
177,Meulaboh,4.1363,96.1285,76.98,89,100,4.0,ID,2022-08-30 01:38:10
178,Port Shepstone,-30.7414,30.455,58.44,60,96,27.4,ZA,2022-08-30 01:38:11
179,Timbiqui,2.7717,-77.6654,75.47,90,51,1.28,CO,2022-08-30 01:38:11
180,Saskylakh,71.9167,114.0833,47.79,63,100,8.23,RU,2022-08-30 01:38:12
181,Rio Gallegos,-51.6226,-69.2181,42.85,87,0,4.61,AR,2022-08-30 01:38:12
182,Pangnirtung,66.1451,-65.7125,43.56,62,28,6.06,CA,2022-08-30 01:38:12
183,Zhangjiakou,40.81,114.8794,69.17,55,0,3.56,CN,2022-08-30 01:38:13
184,Yamunanagar,30.1,77.2833,78.44,88,5,4.85,IN,2022-08-30 01:38:13
185,Shitanjing,39.2342,106.3439,69.76,34,0,9.4,CN,2022-08-30 01:38:14
186,Margate,51.3813,1.3862,64.87,79,100,8.01,GB,2022-08-30 01:38:14
187,Nuuk,64.1835,-51.7216,40.87,93,100,11.01,GL,2022-08-30 01:36:52
188,Fort Erie,42.9001,-78.9329,78.75,78,75,12.66,CA,2022-08-30 01:37:55
189,Namikupa,-10.8333,39.6,61.11,97,0,0.47,TZ,2022-08-30 01:38:15
190,Cherskiy,68.75,161.3,52.16,49,32,14.45,RU,2022-08-30 01:38:15
191,Ponta Do Sol,32.6667,-17.1,70.43,72,3,4.85,PT,2022-08-30 01:38:16
192,Yaan,7.3833,8.5667,70.77,96,38,2.53,NG,2022-08-30 01:38:16
193,Boa Esperanca,-21.09,-45.5658,54.43,82,67,8.57,BR,2022-08-30 01:38:16
194,Yabelo,4.8833,38.0833,62.2,61,90,5.59,ET,2022-08-30 01:38:17
195,Fare,-16.7,-151.0167,78.28,72,7,9.13,PF,2022-08-30 01:38:17
196,Evensk,61.95,159.2333,52.63,89,100,2.62,RU,2022-08-30 01:38:18
197,Pontianak,-0.0333,109.3333,76.98,94,75,0.0,ID,2022-08-30 01:38:18
